"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"caret","caret","C:/Users/romai/AppData/Local/R/win-library/4.2","6.0-92",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"cartography","cartography","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0.1",NA,"R (>= 3.5.0)","classInt, curl, graphics, methods, png, raster, Rcpp, rgeos,
sf (>= 0.6-4), slippymath, sp (>= 1.2-4), stats, utils,
grDevices","Rcpp","lwgeom, SpatialPosition, knitr, rmarkdown, rgdal, tinytest,
covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"catdata","catdata","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.2",NA,"MASS",NA,NA,"rms, qvcalc, glmmML, nnet, pscl, VGAM, gee, mlogit, Ecdat,
geepack, mgcv, rpart, party, ordinal, lme4, vcdExtra, glmnet,
mboost, class, e1071, flexmix, lpSolve, GAMBoost, penalized",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"caTools","caTools","C:/Users/romai/AppData/Local/R/win-library/4.2","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"cba","cba","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2-21",NA,"R (>= 2.10), grid, proxy","stats, graphics, grDevices, methods",NA,"gclus, colorspace",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"cellranger","cellranger","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"censReg","censReg","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5-34",NA,"R (>= 2.4.0), maxLik (>= 0.7-3)","glmmML (>= 0.81-6), sandwich (>= 2.2-6), miscTools (>=
0.6-11), stats (>= 2.15.0), plm",NA,"AER, lmtest (>= 0.9-27)","sampleSelection","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"cgam","cgam","C:/Users/romai/AppData/Local/R/win-library/4.2","1.17",NA,"coneproj(>= 1.12), svDialogs (>= 0.9-57), lme4 (>= 1.1-13),
Matrix (>= 1.2-8), R(>= 3.0.2)",NA,NA,"stats, MASS, graphics, grDevices, utils, SemiPar",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"checkmate","checkmate","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"chk","chk","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.0",NA,"R (>= 3.3)","lifecycle, methods, rlang, tools",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"chron","chron","C:/Users/romai/AppData/Local/R/win-library/4.2","2.3-56",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"circlize","circlize","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.15",NA,"R (>= 3.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"CircStats","CircStats","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2-6",NA,"MASS, boot",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"circular","circular","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4-95",NA,"R (>= 3.0.0), stats","boot, mvtnorm",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"class","class","C:/Users/romai/AppData/Local/R/win-library/4.2","7.3-20","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"classInt","classInt","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"cli","cli","C:/Users/romai/AppData/Local/R/win-library/4.2","3.3.0",NA,"R (>= 3.4)","glue (>= 1.6.0), utils",NA,"asciicast, callr, covr, digest, grDevices, htmltools,
htmlwidgets, knitr, methods, mockery, processx, ps (>=
1.3.4.9000), rlang, rmarkdown, rstudioapi, shiny, testthat,
tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"clipr","clipr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"clisymbols","clisymbols","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"clubSandwich","clubSandwich","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5.6",NA,"R (>= 3.0.0)","stats, sandwich",NA,"Formula, knitr, carData, geepack, metafor, robumeta, nlme,
mlmRev, AER, plm (>= 1.6-4), Matrix, lme4, zoo, testthat,
rmarkdown, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"clue","clue","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3-60",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"cluster","cluster","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.3","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"cmprsk","cmprsk","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2-11",NA,"R (>= 3.0.0), survival",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"cobs","cobs","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3-4",NA,NA,"SparseM (>= 1.6), quantreg (>= 4.65), grDevices, graphics,
splines, stats, methods",NA,"Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"coda","coda","C:/Users/romai/AppData/Local/R/win-library/4.2","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"codetools","codetools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"coin","coin","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4-2",NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-9),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-9)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"collapse","collapse","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7.6",NA,"R (>= 2.10)","Rcpp (>= 1.0.1)","Rcpp","fastverse, data.table, magrittr, kit, sf, plm, fixest, vars,
RcppArmadillo, RcppEigen, dplyr, ggplot2, scales,
microbenchmark, testthat, covr, knitr, rmarkdown",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"colorspace","colorspace","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0-3",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"colourpicker","colourpicker","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.1",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"colourvalues","colourvalues","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.7",NA,"R (>= 3.3.0)","graphics, Rcpp","BH (>= 1.72.0-3), Rcpp","covr, microbenchmark, scales, testthat, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"combinat","combinat","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.2.0"
"common","common","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.5",NA,"R (>= 3.6.0)","this.path, utils",NA,"knitr, rmarkdown, testthat (>= 3.0.0), glue","base","CC0",NA,NA,NA,NA,"no","4.2.2"
"commonmark","commonmark","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"CompQuadForm","CompQuadForm","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"conditionz","conditionz","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.0",NA,"R(>= 3.2.1)","R6, uuid",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"coneproj","coneproj","C:/Users/romai/AppData/Local/R/win-library/4.2","1.16",NA,"R(>= 3.0.2)","Rcpp (>= 0.10.4)","RcppArmadillo, Rcpp","stats, graphics, grDevices, utils",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"conquer","conquer","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.0",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"contfrac","contfrac","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-12",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"corpcor","corpcor","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.10",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"corrplot","corrplot","C:/Users/romai/AppData/Local/R/win-library/4.2","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"covr","covr","C:/Users/romai/AppData/Local/R/win-library/4.2","3.5.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"cowplot","cowplot","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"coxme","coxme","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2-16","optional","survival (>= 2.36.14), methods, bdsmatrix(>= 1.3), R(>= 2.10)","nlme, Matrix (>= 1.0)","bdsmatrix","mvtnorm, kinship2",NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.0"
"cplm","cplm","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7-10",NA,"R (>= 3.2.0), coda, Matrix, splines, methods","biglm, ggplot2, minqa, nlme, reshape2, statmod, stats, stats4,
tweedie","Matrix",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"cpp11","cpp11","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.2",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"cranlogs","cranlogs","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.1",NA,NA,"httr, jsonlite",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crayon","crayon","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5.1",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crch","crch","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-4",NA,"R (>= 2.10.0)","stats, Formula, ordinal, sandwich, scoringRules",NA,"glmx, lmtest, memisc",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"credentials","credentials","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crosstalk","crosstalk","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.0",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"crul","crul","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"ctmm","ctmm","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.1",NA,"R (>= 3.5.0)","Bessel, data.table, digest, expm, fasttime, Gmedian, graphics,
grDevices, gsl, manipulate, MASS, methods, numDeriv, pbivnorm,
pracma, raster, rgdal, shape, sp, statmod, stats, utils",NA,"animation, bit64, fftw, knitr, move, parallel, parsedate,
rmarkdown, sf, suncalc",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"cubature","cubature","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.4.4",NA,NA,"Rcpp","Rcpp","testthat, knitr, mvtnorm, benchr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"cubelyr","cubelyr","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 3.3)","dplyr, glue, pillar, purrr, rlang, tibble, tidyselect",NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"Cubist","Cubist","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.0",NA,"lattice","reshape2, utils",NA,"mlbench, knitr, modeldata, dplyr (>= 0.7.4), rlang,
tidyrules, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"curl","curl","C:/Users/romai/AppData/Local/R/win-library/4.2","4.3.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"curry","curry","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"CVXR","CVXR","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-10",NA,"R (>= 3.4.0)","methods, R6, Matrix, Rcpp (>= 0.12.12), bit64, gmp, Rmpfr,
ECOSolveR (>= 0.5.4), scs (>= 3.0), stats, osqp","Rcpp, RcppEigen","knitr, rmarkdown, testthat, nnls, slam, covr","Rcplex, gurobi, rcbc, cccp, Rmosek, Rglpk","Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"cyclocomp","cyclocomp","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.0",NA,NA,"callr, crayon, desc, remotes, withr",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"data.table","data.table","C:/Users/romai/AppData/Local/R/win-library/4.2","1.14.2",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"datawizard","datawizard","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.1",NA,"R (>= 3.4)","insight (>= 0.17.1), stats, utils",NA,"bayestestR, biglm, boot, brms, data.table, effectsize, gamm4,
ggplot2, haven, httr, knitr, lme4, MASS, mediation, modelbased,
parameters, poorman, psych, readxl, readr, rio, rmarkdown,
rstanarm, see, spelling, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"date","date","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-39",NA,NA,"graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"datetime","datetime","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.4",NA,NA,NA,NA,"chron, SASxport",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"DBI","DBI","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.2",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, DBItest, dbplyr, downlit, dplyr, glue, hms,
knitr, magrittr, RMariaDB, rmarkdown, rprojroot, RSQLite (>=
1.1-2), testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"DBItest","DBItest","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7.2",NA,"R (>= 3.2.0)","blob (>= 1.2.0), callr, DBI (>= 1.1.1), desc, hms (>= 0.5.0),
lubridate, methods, palmerpenguins, R6, rlang (>= 0.2.0),
testthat (>= 2.0.0), utils, withr, vctrs",NA,"clipr, dblog (>= 0.0.0.9008), debugme, devtools, knitr,
lintr, rmarkdown, RSQLite",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"dbplyr","dbplyr","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ddalpha","ddalpha","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.13",NA,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry","Rcpp (>= 0.11.0)","BH, Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"debugme","debugme","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.0",NA,NA,"crayon, grDevices",NA,"covr, mockery, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"decor","decor","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 3.3.0)","tibble, utils, vctrs",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"deldir","deldir","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-6",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"dendextend","dendextend","C:/Users/romai/AppData/Local/R/win-library/4.2","1.16.0",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart, WGCNA,
moduleColor, distory, phangorn, zoo","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.1"
"DEoptim","DEoptim","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2-6",NA,"parallel",NA,NA,"foreach, iterators, colorspace, lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"DEoptimR","DEoptimR","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-11",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"Deriv","Deriv","C:/Users/romai/AppData/Local/R/win-library/4.2","4.1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"desc","desc","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.1",NA,"R (>= 3.4)","cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"deSolve","deSolve","C:/Users/romai/AppData/Local/R/win-library/4.2","1.32",NA,"R (>= 4.0.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"devtools","devtools","C:/Users/romai/AppData/Local/R/win-library/4.2","2.4.3",NA,"R (>= 3.0.2), usethis (>= 2.0.1)","callr (>= 3.6.0), cli (>= 3.0.0), desc (>= 1.3.0), ellipsis
(>= 0.3.1), fs (>= 1.5.0), httr (>= 1.4.2), lifecycle (>=
1.0.0), memoise (>= 2.0.0), pkgbuild (>= 1.2.0), pkgload (>=
1.2.1), rcmdcheck (>= 1.3.3), remotes (>= 2.3.0), rlang (>=
0.4.10), roxygen2 (>= 7.1.1), rstudioapi (>= 0.13), rversions
(>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat (>= 3.0.2),
tools, utils, withr (>= 2.4.1)",NA,"BiocManager (>= 1.30.12), covr (>= 3.5.1), curl (>= 4.3),
digest (>= 0.6.27), DT (>= 0.17), foghorn (>= 1.3.2), gh (>=
1.2.1), gmailr (>= 1.0.0), knitr (>= 1.31), lintr (>= 2.0.1),
MASS, mockery (>= 0.4.2), pingr (>= 2.0.1), pkgdown (>= 1.6.1),
rhub (>= 1.1.1), rmarkdown (>= 2.7), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"dfidx","dfidx","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0-4",NA,"R (>= 2.10)","dplyr, Formula",NA,"knitr, rmarkdown, AER, mlogit, plm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"dfoptim","dfoptim","C:/Users/romai/AppData/Local/R/win-library/4.2","2020.10-1",NA,"R (>= 2.10.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"DHARMa","DHARMa","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.5",NA,"R (>= 3.0.2)","stats, graphics, utils, grDevices, Matrix, parallel, gap,
lmtest, ape, qgam (>= 1.3.2), lme4",NA,"knitr, testthat, rmarkdown, KernSmooth, sfsmisc, MASS, mgcv,
mgcViz (>= 0.1.9), spaMM (>= 3.2.0), GLMMadaptive, glmmTMB (>=
1.1.2.3)","phyr, rstan, rjags, BayesianTools","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"DiagrammeR","DiagrammeR","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.9",NA,"R (>= 3.2)","dplyr (>= 1.0.7), downloader (>= 0.4), glue (>= 1.5.0),
htmltools (>= 0.5.2), htmlwidgets (>= 1.5), igraph (>= 1.2.11),
influenceR (>= 0.1.0.1), magrittr (>= 1.5), purrr (>= 0.3.4),
RColorBrewer (>= 1.1-2), readr (>= 2.1.1), rlang (>= 0.4),
rstudioapi (>= 0.7), scales (>= 1.1), stringr (>= 1.4), tibble
(>= 3.1), tidyr (>= 1.1), viridis (>= 0.6.2), visNetwork (>=
2.1.0)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"dials","dials","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.1",NA,"R (>= 3.4), scales","DiceDesign, dplyr (>= 0.8.5), glue, hardhat (>= 0.2.0),
lifecycle, purrr, rlang (>= 1.0.1), tibble, utils, vctrs (>=
0.3.8), withr",NA,"covr, kernlab, knitr, rmarkdown, rpart, testthat (>= 3.0.0),
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"DiceDesign","DiceDesign","C:/Users/romai/AppData/Local/R/win-library/4.2","1.9",NA,"R (>= 2.10)",NA,NA,"rgl, randtoolbox, lattice",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
